plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
11,FL,future,I,3,,,,,,,1,,,,,,,,,,,,5,,,,,,1,,,,1,,,,,2,,,
12,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
12,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
13,E,future,O,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
13,E,future,I,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EL,future,O,1,,,,,,,1,,,,6,,,,,,,,,,,,1,,1,,,,,,,,,,,,
14,EL,future,I,,,,,,,,22,,,,7,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,
15,L,future,O,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,1,,,
15,L,future,I,,2,,2,,,,4,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,
16,C,future,O,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1,,,,,,,,,
16,C,future,I,,,,1,,,,6,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
17,EFL,ambient,O,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,
17,EFL,ambient,I,,,,,,,,,,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,2,,
18,EF,ambient,O,3,,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,3,,
18,EF,ambient,I,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
19,FL,ambient,O,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,1,
19,FL,ambient,I,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,F,ambient,O,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,F,ambient,I,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,ambient,O,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
22,C,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
23,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,E,ambient,I,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EL,ambient,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
24,EL,ambient,I,2,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,
