species,individual,leaf,biomass.mg,size.px,size.mm2,comments
MEDLUP,10,3,11.80,31181,226.6061047,
HYPRAD,1,1,8.26,44855,325.9811047,
HYPRAD,1,2,6.25,48339,351.3008721,
HYPRAD,1,3,8.19,46818,340.247093,
HYPRAD,2,1,6.56,39660,288.2267442,
HYPRAD,2,2,6.02,36405,264.5712209,
HYPRAD,2,3,5.95,35696,259.4186047,
HYPRAD,3,1,13.62,76568,556.4534884,
HYPRAD,3,2,14.66,76350,554.869186,
HYPRAD,3,3,8.40,43601,316.8677326,
HYPRAD,4,1,11.42,48910,355.4505814,
HYPRAD,4,2,5.44,38089,276.809593,
HYPRAD,4,3,11.04,53158,386.3226744,
HYPRAD,5,1,7.67,41350,300.5087209,
HYPRAD,5,2,8.25,47023,341.7369186,
HYPRAD,5,3,7.54,40148,291.7732558,
HYPRAD,6,1,9.99,55265,401.6351744,
HYPRAD,6,2,9.52,52616,382.3837209,
HYPRAD,6,3,5.66,38254,278.0087209,
HYPRAD,7,1,11.33,58611,425.9520349,
HYPRAD,7,2,5.27,40235,292.4055233,
HYPRAD,7,3,6.99,40109,291.4898256,
HYPRAD,8,1,10.25,53680,390.1162791,
HYPRAD,8,2,8.68,44028,319.9709302,
HYPRAD,8,3,7.24,35013,254.4549419,
HYPRAD,9,1,8.47,39065,283.9026163,
HYPRAD,9,2,8.51,43482,316.002907,
HYPRAD,9,3,5.90,31847,231.4462209,
HYPRAD,10,1,6.03,44363,322.4055233,
HYPRAD,10,2,11.98,55751,405.1671512,
HYPRAD,10,3,9.01,47364,344.2151163,
PICHIE,1,1,7.60,39939,290.2543605,
PICHIE,1,2,7.63,34807,252.9578488,
PICHIE,1,3,7.42,33490,243.3866279,
PICHIE,2,1,8.08,38515,279.9055233,
PICHIE,2,2,6.73,32405,235.5014535,
PICHIE,2,3,7.67,33552,243.8372093,
PICHIE,3,1,9.67,36949,268.5247093,
PICHIE,3,2,10.69,45062,327.4854651,
PICHIE,3,3,6.07,38472,279.5930233,
PICHIE,4,1,6.82,30719,223.2485465,
PICHIE,4,2,4.41,26223,190.5741279,
PICHIE,4,3,7.09,30930,224.7819767,
PICHIE,5,1,6.01,29586,215.0145349,
PICHIE,5,2,6.35,29552,214.7674419,
PICHIE,5,3,4.71,30486,221.5552326,
PICHIE,6,1,6.90,32903,239.1206395,
PICHIE,6,2,8.23,38661,280.9665698,
PICHIE,6,3,8.34,37156,270.0290698,
PICHIE,7,1,7.16,28197,204.9200581,
PICHIE,7,2,8.09,36964,268.6337209,
PICHIE,7,3,6.20,29351,213.306686,
PICHIE,8,1,6.77,37295,271.0392442,
PICHIE,8,2,12.37,52037,378.1758721,
PICHIE,8,3,11.75,49328,358.4883721,
PICHIE,9,1,3.96,28141,204.5130814,
PICHIE,9,2,9.49,38365,278.815407,
PICHIE,9,3,7.91,45351,329.5857558,
PICHIE,10,1,7.89,28330,205.8866279,
PICHIE,10,2,7.53,26355,191.5334302,
PICHIE,10,3,8.71,266099,1933.859012,
SILLAT,1,1,6.09,23225,168.7863372,
SILLAT,1,2,5.75,22922,166.5843023,
SILLAT,1,3,3.80,16073,116.809593,
SILLAT,2,1,6.93,32794,238.3284884,
SILLAT,2,2,7.24,33909,246.431686,
SILLAT,2,3,3.87,18469,134.2223837,
SILLAT,3,1,4.97,29908,217.3546512,
SILLAT,3,2,6.04,34382,249.869186,
SILLAT,3,3,3.87,25897,188.2049419,
